0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:28:37 -0800] "GET /rest/patient_system/test/hello HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:28:43 -0800] "GET /rest/patient_system/test/ HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:28:49 -0800] "GET /rest/patient_system/test/%22Hello%22 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:32:55 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:33:26 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:33:29 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:33:32 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:34:40 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:34:41 -0800] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:34:41 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:34:42 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:34:43 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:34:43 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 4
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:34:45 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:34:45 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:34:45 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:34:45 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:34:45 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:40:25 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:40:27 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:40:27 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:40:28 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:40:28 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:40:29 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:40:29 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:40:29 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:40:29 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:40:30 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:40:30 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:40:30 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:40:30 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:40:30 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:40:30 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:40:30 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:40:30 -0800] "GET /rest/patient_system/test/asdf HTTP/1.1" 200 -
